region_type,voxel_coord,mni_coord,sphere_path
csf,"(41, 45, 37)","(8, -36, 2)",csf_spheres_rois/sphere_8_-36_2.nii.gz
csf,"(38, 99, 33)","(14, 72, -6)",csf_spheres_rois/sphere_14_72_-6.nii.gz
csf,"(45, 45, 36)","(0, -36, 0)",csf_spheres_rois/sphere_0_-36_0.nii.gz
csf,"(22, 58, 40)","(46, -10, 8)",csf_spheres_rois/sphere_46_-10_8.nii.gz
csf,"(76, 51, 43)","(-62, -24, 14)",csf_spheres_rois/sphere_-62_-24_14.nii.gz
csf,"(16, 58, 31)","(58, -10, -10)",csf_spheres_rois/sphere_58_-10_-10.nii.gz
csf,"(41, 66, 26)","(8, 6, -20)",csf_spheres_rois/sphere_8_6_-20.nii.gz
csf,"(71, 72, 31)","(-52, 18, -10)",csf_spheres_rois/sphere_-52_18_-10.nii.gz
csf,"(18, 72, 33)","(54, 18, -6)",csf_spheres_rois/sphere_54_18_-6.nii.gz
csf,"(24, 65, 29)","(42, 4, -14)",csf_spheres_rois/sphere_42_4_-14.nii.gz
csf,"(46, 56, 26)","(-2, -14, -20)",csf_spheres_rois/sphere_-2_-14_-20.nii.gz
csf,"(51, 64, 27)","(-12, 2, -18)",csf_spheres_rois/sphere_-12_2_-18.nii.gz
csf,"(40, 46, 30)","(10, -34, -12)",csf_spheres_rois/sphere_10_-34_-12.nii.gz
csf,"(45, 64, 27)","(0, 2, -18)",csf_spheres_rois/sphere_0_2_-18.nii.gz
csf,"(19, 63, 36)","(52, 0, 0)",csf_spheres_rois/sphere_52_0_0.nii.gz
csf,"(42, 66, 40)","(6, 6, 8)",csf_spheres_rois/sphere_6_6_8.nii.gz
csf,"(44, 19, 50)","(2, -88, 28)",csf_spheres_rois/sphere_2_-88_28.nii.gz
csf,"(47, 62, 46)","(-4, -2, 20)",csf_spheres_rois/sphere_-4_-2_20.nii.gz
csf,"(43, 71, 41)","(4, 16, 10)",csf_spheres_rois/sphere_4_16_10.nii.gz
csf,"(55, 42, 41)","(-20, -42, 10)",csf_spheres_rois/sphere_-20_-42_10.nii.gz
csf,"(70, 25, 22)","(-50, -76, -28)",csf_spheres_rois/sphere_-50_-76_-28.nii.gz
csf,"(80, 35, 36)","(-70, -56, 0)",csf_spheres_rois/sphere_-70_-56_0.nii.gz
csf,"(15, 29, 32)","(60, -68, -8)",csf_spheres_rois/sphere_60_-68_-8.nii.gz
csf,"(48, 97, 26)","(-6, 68, -20)",csf_spheres_rois/sphere_-6_68_-20.nii.gz
csf,"(68, 32, 6)","(-46, -62, -60)",csf_spheres_rois/sphere_-46_-62_-60.nii.gz
